,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1710,Creation of AMYGDALA: Circus / Installation Art Performance,Performance Art,Feb 7 2017,Mar 9 2017,30,"Toulouse, France",€,7044,5000,80
1711,Bring the Seahawk Mask to Seattle,Art,Sep 14 2014,Nov 10 2014,56,"Seattle, WA",$,14653,14575,352
1712,Habakkuk,Illustration,May 14 2019,Jun 13 2019,30,"Nottingham, UK",£,2634,2600,83
1713,Monsters and Legendary Characters of the Greek Mythology,Illustration,May 3 2018,May 31 2018,28,"Valladolid, Spain",€,1388,900,43
1714,Bronze Tribute for Ray Harryhausen,Sculpture,Jan 13 2012,Feb 12 2012,30,"Portland, OR",$,1209,1200,26
1715,"FUNDED!!, A beautiful statue : 'Jesus on the cross'",Sculpture,Oct 23 2017,Nov 22 2017,30,"Vancouver, Canada",CA$,2030,2000,7
1716,Reaching from the grave sculpture,Sculpture,Aug 17 2018,Sep 1 2018,15,"Logan, UT",$,500,500,10
1717,Fēminārum: The Consciousness of Gender in Sculptural Ecorché,Sculpture,Sep 19 2016,Nov 7 2016,49,"Old Lyme, CT",$,1022,900,22
1718,KINTSUKUROI LAMPS - Celebrating Healing,Ceramics,Oct 31 2016,Nov 25 2016,25,"Dallas, TX",CA$,610,500,4
1719,Solstice Fireworks for Fairbanks,Art,Nov 30 2012,Dec 21 2012,21,"Fairbanks, AK",$,1475,1000,24
1720,We are all in this together.,Painting,Nov 23 2013,Dec 23 2013,30,"Ripton, VT",$,5170,5000,65
1721,Burning Man Mutant Vehicle—Fiery Shack-To-Hell-U-Ride,Public Art,Jul 16 2019,Aug 15 2019,30,"Telluride, CO",$,5000,5000,20
1722,"$10 BUCK graffiti Pieces ""YOUR NAME""",Painting,Nov 5 2013,Nov 20 2013,15,"Visalia, CA",$,2645,10,109
1723,This is not trash.,Illustration,Aug 26 2019,Oct 1 2019,35,"Columbus, OH",$,1031,1000,23
1724,Holiday RAWk Art Show,Art,Oct 31 2019,Dec 3 2019,32,"Brooklyn, NY",$,1231,650,26
